question_id,question,answerable,expected_document_id,retrieved_document_ids,retrieved_chunk_ids,hit_at_1,hit_at_4,reciprocal_rank,retrieval_status,answer,abstained,abstention_correct,citation_validity,citation_count,invalid_citation_ids,valid_citation_ids,correctness_score,grounding_score,covered_answer_points,missing_answer_points,unsupported_claims,retrieval_seconds,generation_seconds,manual_review_required,error
q01,What are the four core functions of the AI RMF?,True,nist_ai_rmf_1_0,"[""nist_ai_rmf_1_0"", ""nist_genai_profile"", ""nist_ai_rmf_playbook"", ""nist_ai_rmf_1_0""]","[""nist_ai_rmf_1_0-p0025-c000"", ""nist_genai_profile-p0060-c002"", ""nist_ai_rmf_playbook-p0004-c000"", ""nist_ai_rmf_1_0-p0008-c000""]",True,True,1.0,PASS,"The four core functions of the AI RMF are GOVERN, MAP, MEASURE, and MANAGE [Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 25, chunk_id: nist_ai_rmf_1_0-p0025-c000].",False,,False,1,"[""Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 25, chunk_id: nist_ai_rmf_1_0-p0025-c000"", ""nist_ai_rmf_1_0-p0025-c000""]",[],1.0,0.0,"[""Govern"", ""Map"", ""Measure"", ""Manage""]",[],[],0.01567465499829268,146.85716558199783,True,
q02,Does the AI RMF prescribe a universal risk tolerance?,True,nist_ai_rmf_1_0,"[""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0""]","[""nist_ai_rmf_1_0-p0001-c000"", ""nist_ai_rmf_1_0-p0047-c001"", ""nist_ai_rmf_1_0-p0012-c000"", ""nist_ai_rmf_1_0-p0002-c000""]",True,True,1.0,PARTIAL,"No, the AI RMF does not prescribe a universal risk tolerance because it explicitly states that it does not prescribe risk tolerance at all, and risk tolerance is highly contextual and application-specific [Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 12, chunk_id: nist_ai_rmf_1_0-p0012-c000].",False,,False,1,"[""Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 12, chunk_id: nist_ai_rmf_1_0-p0012-c000"", ""nist_ai_rmf_1_0-p0012-c000""]",[],0.5,0.0,"[""risk tolerance is contextual and organization-specific""]","[""the AI RMF does not prescribe risk tolerance at all""]","[""the AI RMF explicitly states that it does not prescribe risk tolerance""]",0.018520999001339078,241.86294457100303,True,
q03,What characteristics define trustworthy AI systems in the framework?,True,nist_ai_rmf_1_0,"[""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0""]","[""nist_ai_rmf_1_0-p0017-c000"", ""nist_ai_rmf_1_0-p0018-c001"", ""nist_ai_rmf_1_0-p0005-c000"", ""nist_ai_rmf_1_0-p0007-c001""]",True,True,1.0,PASS,"The AI RMF 1.0 framework defines trustworthy AI systems by the following characteristics: valid and reliable, safe, secure and resilient, accountable and transparent, explainable and interpretable, privacy-enhanced, and fair with harmful bias managed [Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 17, chunk_id nist_ai_rmf_1_0-p0017-c000].",False,,False,1,"[""Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 17, chunk_id nist_ai_rmf_1_0-p0017-c000"", ""nist_ai_rmf_1_0-p0017-c000""]",[],0.5,0.0,"[""valid and reliable"", ""safe"", ""secure and resilient"", ""accountable and transparent"", ""explainable and interpretable"", ""privacy-enhanced"", ""fair with harmful bias managed""]",[],"[""The AI RMF 1.0 framework defines trustworthy AI systems by the following characteristics: valid and reliable, safe, secure and resilient, accountable and transparent, explainable and interpretable, privacy-enhanced, and fair with harmful bias managed [Artificial Intelligence Risk Management Framework (AI RMF 1.0), p. 17, chunk_id nist_ai_rmf_1_0-p0017-c000].""]",0.02262312099628616,208.08145736600272,True,
q04,How should the four AI RMF functions be applied over the AI lifecycle?,True,nist_ai_rmf_1_0,"[""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0"", ""nist_genai_profile"", ""nist_ai_rmf_playbook""]","[""nist_ai_rmf_1_0-p0025-c000"", ""nist_ai_rmf_1_0-p0001-c000"", ""nist_genai_profile-p0060-c002"", ""nist_ai_rmf_playbook-p0004-c000""]",True,True,1.0,PARTIAL,,False,,False,0,[],[],,,,,,0.0205962370018824,388.4465834130024,True,generation: RuntimeError: Generation produced empty or truncated final content; inspect the stored result.; Judge skipped: generation failed.
q05,What is confabulation in the Generative AI Profile?,True,nist_genai_profile,"[""nist_genai_profile"", ""nist_genai_profile"", ""nist_genai_profile"", ""nist_genai_profile""]","[""nist_genai_profile-p0005-c001"", ""nist_genai_profile-p0010-c000"", ""nist_genai_profile-p0001-c000"", ""nist_genai_profile-p0005-c000""]",True,True,1.0,PASS,"Confabulation in the Generative AI Profile refers to a phenomenon where GAI systems generate and confidently present erroneous or false content in response to prompts. It also includes generated outputs that diverge from prompts or other input, or contradict previously generated statements in the same context. These phenomena are colloquially referred to as ""hallucinations"" or ""fabrications."" [Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile, p. 10, chunk_id: nist_genai_profile-p0010-c000]",False,,False,1,"[""Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile, p. 10, chunk_id: nist_genai_profile-p0010-c000"", ""nist_genai_profile-p0010-c000""]",[],1.0,0.0,"[""Confidently presented false or erroneous content"", ""commonly called hallucination""]",[],[],0.013113070002873428,162.97033913699852,True,
q06,Name four major Generative AI risk categories identified by NIST.,True,nist_genai_profile,"[""nist_genai_profile"", ""nist_genai_profile"", ""nist_ai_rmf_1_0"", ""nist_ai_rmf_1_0""]","[""nist_genai_profile-p0001-c000"", ""nist_genai_profile-p0002-c000"", ""nist_ai_rmf_1_0-p0001-c000"", ""nist_ai_rmf_1_0-p0002-c000""]",True,True,1.0,PARTIAL,Insufficient information in the provided NIST documents.,True,,False,0,[],[],0.0,1.0,[],"[""Any four documented risks such as confabulation; data privacy; information integrity; harmful bias or homogenization; information security; intellectual property; environmental impacts""]",[],0.012393943005008623,64.8739601549969,True,
q07,What does NIST recommend for testing a generative AI system before deployment?,True,nist_genai_profile,"[""nist_ai_rmf_1_0"", ""nist_genai_profile"", ""nist_genai_profile"", ""nist_genai_profile""]","[""nist_ai_rmf_1_0-p0043-c001"", ""nist_genai_profile-p0001-c000"", ""nist_genai_profile-p0002-c000"", ""nist_genai_profile-p0003-c000""]",False,True,0.5,PASS,Insufficient information in the provided NIST documents.,True,,False,0,[],[],0.0,1.0,[],"[""Empirical evaluation under conditions similar to deployment; document methods and limitations; include relevant stakeholders or independent assessment where appropriate""]",[],0.03132355299749179,192.61535422399902,True,
q08,How should an organization handle third-party generative AI models and components?,True,nist_genai_profile,"[""nist_ai_rmf_1_0"", ""nist_ai_rmf_playbook"", ""nist_ai_rmf_playbook"", ""nist_ai_rmf_playbook""]","[""nist_ai_rmf_1_0-p0042-c000"", ""nist_ai_rmf_playbook-p0054-c000"", ""nist_ai_rmf_playbook-p0090-c001"", ""nist_ai_rmf_playbook-p0034-c000""]",False,False,0.0,MISS,,False,,False,0,[],[],,,,,,0.014118384002358653,388.85748559499916,True,generation: RuntimeError: Generation produced empty or truncated final content; inspect the stored result.; Judge skipped: generation failed.
q09,Is the AI RMF Playbook intended to be followed as a complete checklist?,True,nist_ai_rmf_playbook,"[""nist_ai_rmf_playbook"", ""nist_ai_rmf_playbook"", ""nist_genai_profile"", ""nist_ai_rmf_1_0""]","[""nist_ai_rmf_playbook-p0001-c000"", ""nist_ai_rmf_playbook-p0004-c000"", ""nist_genai_profile-p0016-c001"", ""nist_ai_rmf_1_0-p0025-c000""]",True,True,1.0,PARTIAL,"No, the AI RMF Playbook is not intended to be followed as a complete checklist. [NIST AI Risk Management Framework Playbook, p. 4, nist_ai_rmf_playbook-p0004-c000] explicitly states: ""The Playbook is neither a checklist nor set of steps to be followed in its entirety."" Organizations may selectively borrow suggestions based on their industry use case rather than implementing the entire Playbook.",False,,True,1,[],"[""nist_ai_rmf_playbook-p0004-c000""]",1.0,1.0,"[""No""]",[],[],0.013330606001545675,159.02293240900326,False,
q10,What post-deployment practices help an organization detect AI system drift?,True,nist_ai_rmf_playbook,"[""nist_ai_rmf_playbook"", ""nist_ai_rmf_playbook"", ""nist_ai_rmf_playbook"", ""nist_ai_rmf_playbook""]","[""nist_ai_rmf_playbook-p0109-c001"", ""nist_ai_rmf_playbook-p0134-c001"", ""nist_ai_rmf_playbook-p0057-c000"", ""nist_ai_rmf_playbook-p0056-c000""]",True,True,1.0,PARTIAL,"Organizations can detect AI system drift by monitoring and documenting differences in metrics and performance indicators between production and pre-deployment testing, as this identifies when AI systems no longer meet original design assumptions [NIST AI Risk Management Framework Playbook, p. 109, chunk_id: nist_ai_rmf_playbook-p0109-c001].",False,,False,1,"[""NIST AI Risk Management Framework Playbook, p. 109, chunk_id: nist_ai_rmf_playbook-p0109-c001"", ""nist_ai_rmf_playbook-p0109-c001""]",[],0.5,0.0,"[""Monitor performance and trustworthiness""]","[""collect stakeholder feedback"", ""perform TEVV or audits"", ""document and respond to incidents and degradation""]","[""Organizations can detect AI system drift by monitoring and documenting differences in metrics and performance indicators between production and pre-deployment testing, as this identifies when AI systems no longer meet original design assumptions""]",0.01306075799948303,217.35438505500497,True,
